"datex","EPOCH1","EPOCH2","EPOCH3","EPOCH4"
2020-02-29,55,0,0,0
2020-03-01,55,0,0,0
2020-03-02,55,0,0,0
2020-03-03,55,0,0,0
2020-03-04,55,0,0,0
2020-03-05,55,0,0,0
2020-03-06,55,0,0,0
2020-03-07,55,0,0,0
2020-03-08,55,0,0,0
2020-03-09,55,0,0,0
2020-03-10,55,0,0,0
2020-03-11,55,0,0,0
2020-03-12,55,0,0,0
2020-03-13,55,0,0,0
2020-03-14,55,0,0,0
2020-03-15,55,0,0,0
2020-03-16,54,1,0,0
2020-03-17,54,1,0,0
2020-03-18,53,2,0,0
2020-03-19,52,3,0,0
2020-03-20,51,4,0,0
2020-03-21,50,5,0,0
2020-03-22,50,5,0,0
2020-03-23,48,7,0,0
2020-03-24,48,7,0,0
2020-03-25,46,9,0,0
2020-03-26,45,10,0,0
2020-03-27,42,13,0,0
2020-03-28,42,13,0,0
2020-03-29,42,13,0,0
2020-03-30,39,16,0,0
2020-03-31,37,18,0,0
2020-04-01,36,19,0,0
2020-04-02,36,19,0,0
2020-04-03,36,19,0,0
2020-04-04,36,19,0,0
2020-04-05,36,19,0,0
2020-04-06,36,19,0,0
2020-04-07,36,19,0,0
2020-04-08,36,19,0,0
2020-04-09,35,20,0,0
2020-04-10,34,20,1,0
2020-04-11,34,19,2,0
2020-04-12,34,19,2,0
2020-04-13,34,19,2,0
2020-04-14,34,19,2,0
2020-04-15,34,19,2,0
2020-04-16,34,18,3,0
2020-04-17,34,17,4,0
2020-04-18,34,16,5,0
2020-04-19,34,15,6,0
2020-04-20,34,13,8,0
2020-04-21,34,13,8,0
2020-04-22,34,12,9,0
2020-04-23,34,10,11,0
2020-04-24,34,9,12,0
2020-04-25,34,8,13,0
2020-04-26,34,8,13,0
2020-04-27,34,8,13,0
2020-04-28,34,8,13,0
2020-04-29,34,7,14,0
2020-04-30,34,6,15,0
2020-05-01,34,5,16,0
2020-05-02,34,5,16,0
2020-05-03,34,5,16,0
2020-05-04,34,5,16,0
2020-05-05,34,5,16,0
2020-05-06,34,5,16,0
2020-05-07,34,5,16,0
2020-05-08,34,4,17,0
2020-05-09,34,1,20,0
2020-05-10,34,1,20,0
2020-05-11,34,1,20,0
2020-05-12,34,1,20,0
2020-05-13,34,1,20,0
2020-05-14,34,1,20,0
2020-05-15,34,1,20,0
2020-05-16,34,1,20,0
2020-05-17,34,0,21,0
2020-05-18,34,0,21,0
2020-05-19,34,0,21,0
2020-05-20,34,0,21,0
2020-05-21,34,0,21,0
2020-05-22,34,0,21,0
2020-05-23,34,0,21,0
2020-05-24,34,0,21,0
2020-05-25,34,0,21,0
2020-05-26,34,0,21,0
2020-05-27,34,0,21,0
2020-05-28,34,0,21,0
2020-05-29,34,0,21,0
2020-05-30,34,0,21,0
2020-05-31,34,0,21,0
2020-06-01,34,0,21,0
2020-06-02,34,0,21,0
2020-06-03,34,0,21,0
2020-06-04,34,0,21,0
2020-06-05,34,0,21,0
2020-06-06,34,0,21,0
